ds,yhat,yhat_lower,yhat_upper
2010-10-01,43756439.25650552,39574485.81700924,48459443.39062478
2010-10-08,44927271.028342,40616870.5165006,49397304.32062397
2010-10-15,44747599.151551,40106559.943443105,49499599.989942335
2010-10-22,43864274.7689227,39238919.710758425,48154205.09064401
2010-10-29,44123737.09572156,39580786.43786831,48423929.007867604
2010-11-05,46307856.28014189,42085956.54638581,50715168.85463034
2010-11-12,49202403.68233545,44436660.74501526,53656450.45285549
2010-11-19,51273685.532137044,46746241.637389675,55643586.725786075
2010-11-26,52832236.784237415,48855148.441872515,57310695.725547366
2010-12-03,55666469.08489796,50984933.06908664,60112641.12626625
2010-12-10,60208653.18953824,55659653.939584136,64960646.59908252
2010-12-17,63678240.05392556,59154816.699078545,68177815.15299425
2010-12-24,62041511.990211636,57158518.412332535,66093776.143838055
2010-12-31,54250836.71814047,50068766.678694785,58844574.69184715
2011-01-07,44191070.35495376,39831011.11150199,48326498.0981185
2011-01-14,37816656.00027074,33044034.67807159,42174825.250900745
2011-01-21,38108026.309687674,33666428.66778661,42514656.88093334
2011-01-28,42872718.27229561,38544118.35736534,47055827.245828114
2011-02-04,47358124.11287282,42778898.744755715,51942722.23389438
2011-02-11,48665494.017122984,44277079.385244675,53298684.27263593
2011-02-18,47489026.41501855,43272355.617067754,51992772.197597235
2011-02-25,46135226.71293084,41594446.36173956,50556660.84064438
2011-03-04,45729947.93913279,41170207.90819372,50037082.907243274
2011-03-11,45711604.098290995,41219451.8455401,50261013.74448055
2011-03-18,45413413.538295284,40701842.64509465,49969315.49736819
2011-03-25,45201310.22324555,40862770.09625238,49830768.88693917
2011-04-01,45752248.171704344,41450440.933172934,50178098.37953242
2011-04-08,46763129.03481317,42258270.35327238,51315903.80964567
2011-04-15,47079319.456312835,42609825.705182694,51471316.77951145
2011-04-22,46148161.77224518,41942937.84409972,50743893.389510415
2011-04-29,44861111.87579904,40621698.261570245,49166931.77951455
2011-05-06,44605829.92805724,40197662.838156216,48991615.58393398
2011-05-13,45682663.71488565,41366706.74483411,50332918.633481994
2011-05-20,47045062.88451801,42621027.54133692,51640566.387645066
2011-05-27,47614833.41316778,43407277.83888707,51547289.758826464
2011-06-03,47464129.49133142,43293120.624024816,52082148.80225431
2011-06-10,47449088.83369661,42942498.89458684,51684579.40882829
2011-06-17,47929962.95378125,43357924.016340636,52145674.54057681
2011-06-24,48302733.38033873,43801424.537962355,52949874.46428823
2011-07-01,47873272.52354973,43505233.19550635,52159179.38351132
2011-07-08,46817757.67105875,42623776.0406711,51528421.88768957
2011-07-15,45961055.813026935,41460696.067085534,50153039.665562
2011-07-22,45763076.76368872,41169274.963881105,50102626.040209405
2011-07-29,45924603.736068144,41393543.87854948,50226316.90617613
2011-08-05,46055829.18754517,41656066.18841884,50489113.16686589
2011-08-12,46313233.31818186,41718198.53227341,50914933.42506211
2011-08-19,46991225.74590901,42524360.66659145,51068182.8064215
2011-08-26,47662869.35565982,43204761.161757685,52265297.5435533
2011-09-02,47301038.267760456,42686097.32032779,51700172.38031484
2011-09-09,45544696.33129433,41158724.07147321,49934421.515692264
2011-09-16,43516121.827970736,39131236.135753535,48032299.8373881
2011-09-23,42860836.74177931,38453758.23467623,47498386.833587416
2011-09-30,43912276.108776815,39322773.37830112,48091439.01504784
2011-10-07,45238888.81179712,41020632.5624197,49757889.888655886
2011-10-14,45325088.82049481,40792010.06163873,49831662.9980949
2011-10-21,44448984.74999611,39798628.634183966,49078290.7085083
2011-10-28,44399469.76317099,40011697.39437674,48930009.23945393
2011-11-04,46290917.675786644,42053966.82943903,50804716.295732744
2011-11-11,49207613.73722749,45048507.280902006,53931786.438089594
2011-11-18,51481829.14806248,47324029.27471794,55772519.49406472
2011-11-25,53022725.36587619,48705336.455148615,57410475.192175314
2011-12-02,55525734.40402423,51212043.16676726,59944302.29550282
2011-12-09,59884923.67238293,55750282.24722855,64396765.9886516
2011-12-16,63868512.303991474,59424292.16691478,68151169.6287629
2011-12-23,63365362.55546042,59078975.42864777,67894312.6687946
2011-12-30,56527437.31538763,52212014.75566468,60773046.801311105
2012-01-06,46435776.526295125,41674582.73056106,50848396.22358584
2012-01-13,39049556.32998168,34582927.26182015,43416177.27096047
2012-01-20,38179693.87235008,33886138.48152659,42460580.797710285
2012-01-27,42487172.02478447,38161023.01710128,47268477.35487592
2012-02-03,47340636.76041804,42466918.610379875,52074096.878965296
2012-02-10,49264104.54482886,44650527.112064786,53723375.97553663
2012-02-17,48370892.17724709,43936110.97032035,52818549.05265987
2012-02-24,46911109.87542458,42450746.44000549,51068659.39989734
2012-03-02,46346140.35246799,41820465.61058817,50740829.10101739
2012-03-09,46331775.597487465,41915693.28573415,50634459.3431659
2012-03-16,46089604.45137805,41606966.835792124,50454563.92335093
2012-03-23,45803932.71373368,41369413.130007185,50124024.56897109
2012-03-30,46203708.06437883,41834011.32127533,50837034.74156142
2012-04-06,47208670.00175617,43171126.5245782,51660973.00067282
2012-04-13,47727592.0941691,43237764.30700342,52122561.11576183
2012-04-20,46993304.85658498,42728164.05641989,51214677.1827293
2012-04-27,45659437.752157286,41202973.385354936,50378301.19852953
2012-05-04,45151950.530128844,40867754.31139113,49384337.7163748
2012-05-11,46040434.17695302,41567422.08524225,50122056.40043171
2012-05-18,47452278.91985172,43182252.91155188,51865342.94778393
2012-05-25,48196724.539703496,43449907.68919851,52170901.66996663
2012-06-01,48118326.80577877,43919969.37279404,52469355.85456479
2012-06-08,48023656.00385736,43918658.80382649,52535205.673394255
2012-06-15,48438176.36201215,44051866.455222055,53034402.51845563
2012-06-22,48895628.981127165,44248900.47366435,53331005.67902314
2012-06-29,48626773.49050901,43893690.078736596,52992418.22766322
2012-07-06,47628765.137654796,43036502.90309675,52126718.34282973
2012-07-13,46680189.19994332,42488902.944736324,51251058.27959089
2012-07-20,46368926.07621047,41827916.958542794,50677298.060855225
2012-07-27,46504939.22353483,41618444.79759217,50809954.97942409
2012-08-03,46647103.222072974,42027518.26768066,50742529.61480748
2012-08-10,46851593.103804834,42509278.03140017,51446816.23496565
2012-08-17,47457922.28482205,42724283.609575704,51511164.05219963
2012-08-24,48201608.3973832,43493231.75500574,52547534.47253522
2012-08-31,48088847.50261213,44155533.09790414,52513252.17158121
2012-09-07,46540249.34393964,41898445.03047542,50548518.32448266
2012-09-14,44429632.30998628,39937725.290856645,49214755.81511262
2012-09-21,43447507.87205821,39096043.69602331,47948599.55889685
2012-09-28,44260575.133685246,39545759.90029459,48685699.153011896
2012-10-05,45678296.494513445,41212195.690758474,50316441.44367016
2012-10-12,46029563.351455174,41679877.61580474,50406664.29171385
2012-10-19,45214018.88648269,40863334.33614732,50202403.337246805
2012-10-26,44884844.881745294,40578487.97035468,49601701.91276275
2012-10-28,45120721.38309064,40451072.9357065,49446095.63528663
2012-11-04,47198779.336771674,42549833.10177807,51494591.68792882
2012-11-11,50115508.79902314,45511077.81750236,54789661.977770954
2012-11-18,52273782.34124498,47673017.72724856,56566854.09156269
2012-11-25,53822821.853865236,49652505.10554988,58249760.19030796
2012-12-02,56526539.02114587,51973365.1285763,60953752.859951876
2012-12-09,61011095.13950072,56518543.94638931,65601785.20446259
2012-12-16,64708809.52561754,60543085.11843026,69235542.79909807
2012-12-23,63536390.28971625,59023583.49956532,67878455.4140926
2012-12-30,56116970.17353228,51492718.5211085,60518495.84047439
2013-01-06,46024237.422222026,41736848.19661586,50436090.31636092
2013-01-13,39235758.57204623,34632130.854540564,43580470.799090125
